DBN,Year,TotalEnrollment,GradePK,GradeK,Grade1,Grade2,Grade3,Grade4,Grade5,Grade6,Grade7,Grade8,Grade9,Grade10,Grade11,Grade12,Female,Male,Asian,Black,Hispanic,MultiRacial,NativeAmerican,White,MissingRace,StudentsDisabilities,EnglishLearner,Poverty,DaysAbsent,DaysPresent,Attendance,ChronicallyAbsentNum,ChronicallyAbsentPerct
01M015,2017-18,190,17,28,32,33,23,31,26,0,0,0,0,0,0,0,0.521,0.479,0.105,0.274,0.579,0.005,0.005,0.032,0,0.258,0.042,84.70,33264,2078,93.8,37,18.9
01M015,2018-19,174,13,20,33,30,30,20,28,0,0,0,0,0,0,0,0.489,0.511,0.138,0.276,0.546,0,0.006,0.034,0,0.224,0.046,84.50,30887,2278,92.6,47,24.5
01M015,2019-20,190,14,29,28,38,33,29,19,0,0,0,0,0,0,0,0.495,0.505,0.142,0.295,0.505,0,0.011,0.047,0,0.242,0.089,81.60,21101,1500,92.9,58,28.4
01M015,2020-21,193,17,29,29,27,30,32,29,0,0,0,0,0,0,0,0.523,0.477,0.135,0.275,0.528,0.005,0,0.057,0,0.228,0.109,83.40,32686,3931,88.0,84,42.2
01M019,2017-18,257,13,34,38,42,46,42,42,0,0,0,0,0,0,0,0.444,0.556,0.089,0.191,0.646,0.012,0,0.062,0,0.35,0.031,77.00,46335,3994,91.4,97,35.1
01M019,2018-19,249,10,30,39,43,41,44,42,0,0,0,0,0,0,0,0.458,0.542,0.056,0.209,0.627,0.032,0.004,0.072,0,0.41,0.032,73.50,44723,3979,91.1,87,32.8
01M019,2019-20,236,16,25,27,39,45,42,42,0,0,0,0,0,0,0,0.466,0.534,0.047,0.208,0.627,0.034,0.004,0.081,0,0.398,0.034,74.60,27491,2242,91.8,72,28.8
01M019,2020-21,212,13,23,25,27,38,44,42,0,0,0,0,0,0,0,0.467,0.533,0.061,0.193,0.613,0.033,0.005,0.08,0.014,0.41,0.042,71.70,36681,2523,93.1,50,23.5
01M020,2017-18,497,34,71,82,69,89,83,69,0,0,0,0,0,0,0,0.491,0.509,0.296,0.103,0.531,0.028,0.008,0.032,0.002,0.237,0.173,73.60,88007,6689,92.4,158,29.6
01M020,2018-19,481,42,61,69,76,67,90,76,0,0,0,0,0,0,0,0.497,0.503,0.287,0.137,0.497,0.025,0.006,0.046,0.002,0.243,0.131,67.80,85659,6800,92.1,165,31.7
01M020,2019-20,464,41,63,61,71,76,65,87,0,0,0,0,0,0,0,0.502,0.498,0.259,0.125,0.515,0.022,0.011,0.067,0.002,0.228,0.131,76.30,53694,4762,91.1,192,37.7
01M020,2020-21,412,37,58,52,60,66,74,65,0,0,0,0,0,0,0,0.488,0.512,0.248,0.133,0.522,0.015,0.007,0.073,0.002,0.223,0.119,72.10,71138,5482,92.3,99,23.3
01M034,2017-18,333,13,25,18,22,47,35,36,38,41,58,0,0,0,0,0.45,0.55,0.033,0.318,0.613,0,0.006,0.027,0.003,0.372,0.075,95,59315,6079,89.8,155,41.4
01M034,2018-19,305,17,26,20,16,21,43,40,39,44,39,0,0,0,0,0.475,0.525,0.026,0.334,0.597,0,0.01,0.03,0.003,0.384,0.072,95,54863,6309,88.5,158,48.0
01M034,2019-20,296,17,24,26,16,18,21,43,43,40,48,0,0,0,0,0.476,0.524,0.024,0.361,0.581,0,0.007,0.027,0,0.395,0.057,95,33896,4360,87.1,146,47.2
01M034,2020-21,273,12,19,24,27,16,17,23,48,43,44,0,0,0,0,0.462,0.538,0.026,0.381,0.557,0.004,0.004,0.029,0,0.396,0.062,95,48074,5516,88.5,116,40.6
01M063,2017-18,203,26,40,29,36,22,23,27,0,0,0,0,0,0,0,0.493,0.507,0.03,0.182,0.631,0.039,0,0.118,0,0.33,0.01,81.80,36452,2797,92.3,62,29.1
01M063,2018-19,230,23,49,41,28,40,25,24,0,0,0,0,0,0,0,0.452,0.548,0.017,0.196,0.652,0.039,0,0.096,0,0.335,0.017,77.00,40842,3731,90.9,83,33.1
01M063,2019-20,229,26,40,34,38,30,32,29,0,0,0,0,0,0,0,0.454,0.546,0.039,0.17,0.686,0.026,0.004,0.074,0,0.31,0.022,77.30,26631,2494,90.6,83,33.7
01M063,2020-21,208,17,37,31,33,34,26,30,0,0,0,0,0,0,0,0.476,0.524,0.029,0.192,0.635,0.034,0.005,0.091,0.014,0.284,0.014,77.90,36697,2599,92.9,57,25.7
01M064,2017-18,245,35,27,44,37,30,36,36,0,0,0,0,0,0,0,0.412,0.588,0.045,0.208,0.682,0.012,0,0.053,0,0.298,0.02,92.20,43922,4561,89.6,114,43.2
01M064,2018-19,223,19,42,32,40,29,28,33,0,0,0,0,0,0,0,0.417,0.583,0.031,0.184,0.713,0.018,0,0.054,0,0.287,0.027,86.50,40702,4604,88.7,117,48.1
01M064,2019-20,236,34,23,44,30,41,31,33,0,0,0,0,0,0,0,0.453,0.547,0.03,0.169,0.737,0.008,0.013,0.042,0,0.284,0.017,91.10,27356,2544,90.7,94,38.1
01M064,2020-21,220,18,28,24,43,32,43,32,0,0,0,0,0,0,0,0.441,0.559,0.032,0.182,0.727,0.009,0.005,0.041,0.005,0.277,0.018,91.80,38761,4809,87.6,112,48.1
01M110,2017-18,379,30,64,52,55,48,57,73,0,0,0,0,0,0,0,0.438,0.562,0.169,0.098,0.443,0.026,0.003,0.261,0,0.127,0.037,62.50,67561,3896,94.2,75,18.8
01M110,2018-19,372,34,59,66,59,52,45,57,0,0,0,0,0,0,0,0.452,0.548,0.159,0.099,0.452,0.03,0.003,0.258,0,0.121,0.022,56.70,64913,3960,93.9,95,24.3
01M110,2019-20,396,35,68,63,74,52,54,50,0,0,0,0,0,0,0,0.437,0.563,0.162,0.096,0.455,0.028,0.005,0.255,0,0.121,0.025,60.90,45069,2737,93.9,79,19.4
01M110,2020-21,373,26,61,63,59,63,49,52,0,0,0,0,0,0,0,0.429,0.571,0.158,0.107,0.437,0.019,0.003,0.273,0.003,0.145,0.019,58.70,64920,3930,93.9,74,19.4
